epoch,accuracy,loss,val_accuracy,val_loss
0,0.5987868309020996,0.9117751121520996,0.8685120940208435,0.6290947794914246
1,0.8838821649551392,0.5049872994422913,0.8927335739135742,0.392348051071167
2,0.941074550151825,0.28166699409484863,0.9204152226448059,0.295977383852005
3,0.9644713997840881,0.16076748073101044,0.9273356199264526,0.23428598046302795
4,0.9800693392753601,0.09889362752437592,0.9273356199264526,0.21045701205730438
5,0.9930675625801086,0.05541336536407471,0.9307958483695984,0.20779035985469818
6,0.992201030254364,0.038398537784814835,0.9273356199264526,0.19100584089756012
7,0.998266875743866,0.024658093228936195,0.9307958483695984,0.23715972900390625
8,0.9965338110923767,0.01834774948656559,0.9204152226448059,0.19075745344161987
9,1.0,0.010210865177214146,0.9273356199264526,0.20801641047000885
10,1.0,0.006610222160816193,0.9342560768127441,0.21606138348579407
11,1.0,0.005482912994921207,0.9307958483695984,0.20993059873580933
12,1.0,0.004533935803920031,0.9307958483695984,0.21125279366970062
13,1.0,0.0036246231757104397,0.9307958483695984,0.2146185338497162
14,1.0,0.003252546302974224,0.9307958483695984,0.22023144364356995
15,1.0,0.0031430537346750498,0.9342560768127441,0.21804659068584442
16,1.0,0.002539876149967313,0.9342560768127441,0.2144664227962494
17,1.0,0.0028411485254764557,0.9342560768127441,0.2265419065952301
18,1.0,0.002183350967243314,0.9342560768127441,0.23109036684036255
19,1.0,0.0018900949507951736,0.9342560768127441,0.2228466123342514
20,1.0,0.0016604478005319834,0.9307958483695984,0.22609810531139374
21,1.0,0.0013955075992271304,0.9307958483695984,0.22518835961818695
22,1.0,0.0012779317330569029,0.9342560768127441,0.23171569406986237
23,1.0,0.0013342603342607617,0.9342560768127441,0.22910164296627045
24,1.0,0.001057855668477714,0.9342560768127441,0.23066766560077667
25,1.0,0.0009889645734801888,0.9342560768127441,0.23708343505859375
26,1.0,0.0010347214993089437,0.9342560768127441,0.24182812869548798
27,1.0,0.0010127840796485543,0.9342560768127441,0.23601925373077393
28,1.0,0.0007828978705219924,0.9342560768127441,0.2348102480173111
29,1.0,0.0008029562304727733,0.9342560768127441,0.23215244710445404
30,1.0,0.0007642630953341722,0.9342560768127441,0.23394446074962616
31,1.0,0.0006612921715714037,0.9342560768127441,0.23517030477523804
32,1.0,0.0005910824402235448,0.9342560768127441,0.237468421459198
33,1.0,0.0005218271398916841,0.9342560768127441,0.23917341232299805
34,1.0,0.0004899278865195811,0.9342560768127441,0.24197278916835785
35,1.0,0.0005124387098476291,0.9342560768127441,0.2443460077047348
36,1.0,0.0007579279481433332,0.9273356199264526,0.25460949540138245
37,1.0,0.000572597433347255,0.9273356199264526,0.2526545524597168
38,1.0,0.0005917128291912377,0.9342560768127441,0.2560393214225769
39,1.0,0.0004951235023327172,0.9342560768127441,0.25700491666793823
40,1.0,0.0005047924350947142,0.9342560768127441,0.2476455569267273
41,1.0,0.00036650814581662416,0.9307958483695984,0.24520012736320496
42,1.0,0.0005005627754144371,0.9307958483695984,0.24582624435424805
43,1.0,0.00031775448587723076,0.9307958483695984,0.2457515150308609
44,1.0,0.00030025371233932674,0.9307958483695984,0.24720999598503113
45,1.0,0.00033268440165556967,0.9342560768127441,0.25028643012046814
46,1.0,0.0003500404127407819,0.9342560768127441,0.25393611192703247
47,1.0,0.0003794621443375945,0.9342560768127441,0.256043404340744
48,1.0,0.0003118382301181555,0.9342560768127441,0.25901198387145996
49,1.0,0.0002661249600350857,0.9342560768127441,0.25952208042144775
